school_name,majority_race,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,casualties
Columbine High School,white,1783,16,112,42,12,,34
Scotlandville Middle School,black,5,583,0,0,0,,1
Heritage High School,white,1189,136,28,15,1,,6
John Bartram High School,black,209,2736,27,170,5,,1
Dorchester High School,black,40,755,287,29,5,,1
Deming Middle School,hispanic,160,6,583,2,2,,1
Fort Gibson Middle School,white,239,3,12,0,153,,5
Ridgewood High School,white,1697,28,96,26,5,,1
Alicia Reyes Elementary School,hispanic,82,40,389,222,1,,0
Duke Ellington Elementary School,black,0,736,0,0,0,,1
Horn Lake High School,white,991,166,25,14,1,,0
Tecumseh High School,white,527,8,12,2,162,,0
Buell Elementary School,black,125,261,37,0,1,,1
Hugo High School,white,263,117,11,1,107,,1
Carmichael Elementary School,white,178,51,154,8,6,,1
Lake Worth Middle School,black,414,560,528,17,6,,1
Dimmitt Middle School,black,276,375,73,218,14,,0
Mount Healthy North Junior High,black,149,192,0,0,0,,0
Carter G. Woodson Middle School,black,0,685,1,0,0,,1
Hueneme High School,hispanic,311,124,2145,134,50,,0
Lake Clifton Eastern High School,black,24,2205,2,4,1,,1
Pearl C. Anderson Middle School,black,3,793,82,0,1,,1
Santana High School,white,1591,24,174,58,8,,15
Bishop Neumann Junior-Senior High,white,208,10,5,4,0,,1
Granite Hills High School,white,2256,67,376,66,50,,5
Lew Wallace High School,black,2,1135,39,3,0,,1
Monroe City Alternative Center,,,,,,,,0
Ennis High School,white,692,202,383,2,0,,0
Belmont High School,hispanic,27,98,4679,456,4,,1
Latonia Elementary School,white,441,81,0,1,3,,1
Redondo Union High School,white,1199,121,518,216,15,,1
Caro Learning Center,white,126,2,23,0,0,,0
"Martin Luther King, Jr. High School",black,49,1223,949,29,8,,2
Gardena High School,hispanic,77,1381,1492,244,4,,2
Benjamin Tasker Middle School,black,562,706,47,52,4,,1
Lincoln High School,black,9,722,208,43,4,,1
St. James Catholic School,white,287,4,5,1,0,,2
Mount Pleasant High School,hispanic,247,396,831,155,12,,0
Ranum High School,hispanic,539,18,748,112,17,,0
Cardozo High School,black,6,530,183,28,2,,1
John McDonogh High School,black,10,1241,9,0,0,,4
Delhi Middle School,hispanic,101,7,273,13,0,,1
Red Lion Area Junior High School,white,949,6,5,5,0,,1
Vicksburg High School,black,388,719,9,5,0,,1
Lewis and Clark High School,white,1701,116,64,71,40,,0
Rocori High School,white,813,3,8,7,0,,2
Burns Middle School,white,786,240,20,3,0,,0
Rio Cazadero High School,black,27,105,91,88,5,,2
East Mecklenburg High School,white,997,990,198,82,8,,1
Ballou High School,black,0,1084,2,2,2,,2
Columbia High School,white,1390,28,6,31,0,,1
T.M. Peirce Elementary School,black,2,445,4,2,0,,2
Castlemont High School,black,9,736,631,83,1,,2
Proviso East High School,black,44,1506,497,9,10,,1
Wirt High School,black,10,769,11,2,0,,0
Thurgood Marshall High School,black,6,493,2,0,1,,2
Booker T. Washington High School,black,2,381,0,0,0,,1
Emmanuel Christian Academy,black,0,128,0,0,0,,1
Woodruff High School,black,336,602,60,14,0,,0
Bowen High School,black,2,167,46,0,0,,1
Maplewood Comprehensive High School,black,219,868,21,11,0,,1
Red Lake High School,american_indian_alaska_native,0,0,0,0,331,,14
Canton High School,white,484,16,29,1,3,,1
Highland Elementary School,white,403,23,10,9,0,,1
Maury Middle School,white,594,9,4,2,0,,1
Sojourner Truth High School,black,9,110,4,0,0,,1
Harlan Community Academy High School,black,0,1381,0,0,0,,1
Farmington High School,white,1126,18,7,8,1,,0
Saginaw High School,black,16,1128,34,0,0,,1
Campbell County High School,white,1429,0,6,5,0,,3
Central High School,black,5,1194,0,1,5,,1
Mary McLeod Bethune Academy,black,14,311,4,35,2,,1
Milwee Middle School,white,635,158,309,18,1,,1
Indian River High School,black,733,957,53,69,6,,0
Will C. Wood High School,white,1271,233,394,161,27,,1
Lakeview Centennial High School,black,630,755,674,108,8,,2
Westinghouse High School,black,1,561,0,0,0,,1
Roseburg High School,white,1844,12,111,45,40,,1
Pine Middle School,white,502,19,293,40,14,,2
Venice High School,hispanic,413,336,2173,269,19,,1
Orange High School,white,776,290,55,6,3,,2
South Hills High School,hispanic,103,242,1053,19,0,,1
Platte Canyon High School,white,424,4,28,7,13,,1
Weston High School,white,117,2,0,0,0,,1
West Nickel Mines Amish School,white,26,0,0,0,0,,10
Memorial Middle School,white,591,43,49,7,9,,0
Henry Foss High School,white,692,535,139,354,29,,1
Robert A. Taft Information Technology High School,black,20,715,0,0,0,,0
William L.Sayre High School,black,1,647,5,1,1,,1
Herbert Henry Dow High School,white,1475,32,26,56,4,,1
Chicago Vocational Career Academy,black,2,1993,7,0,1,,1
Springwater Trail High School,white,133,3,17,3,4,,10
Liberty Memorial Middle School,hispanic,18,0,487,0,0,,0
George S. Middleton High School,black,268,1256,202,29,4,,0
SuccessTech Academy,black,22,227,9,0,1,,4
Groves High School,black,381,997,89,37,3,,0
Crossroads Charter High School,black,5,230,8,0,1,,1
Hamilton High School,black,4,1577,0,0,0,,1
Notre Dame Elementary School,white,158,3,1,0,4,,1
Mitchell High School,black,0,1109,0,1,0,,1
E.O. Green Junior High School,hispanic,125,49,829,58,4,,1
Friends of Children Head Start center,,,,,,,,2
Roosevelt High School,hispanic,130,112,2039,444,10,,1
Central High School,white,872,254,55,25,4,,1
